stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station
020510,020510,Via XXV Aprile,VIALE XXV APRILE,40.519818,17.261617,020510,0,
020520,020520,Viale Cannata,VIALE CANNATA (Corte d'Appello),40.519547,17.270420,020520,0,
020530,020530,Viae Cannata,VIALE CANNATA  (ang.. via Latorre),40.519657,17.273781,020530,0,
020531,020531,Viale Cannata,VIALE CANNATA (ang.Corso Buozzi L. nord),40.519544,17.275859,020531,0,
020532,020532,Vle della liberazione,"V.le della liberazione, 88",40.516638,17.276447,020532,0,
020539,020539,Viale Cannata,VIALE CANNATA (ang. v.le dell'Industria),40.519523,17.279004,020539,0,
020540,020540,VIAle Cannata fr. n. 8800,VIALE CANNATA fr. n. 8800,40.519420,17.285074,020540,0,
020541,020541,Viale Cannata,VIALE CANNATA (ang.v.le Turismo L.nord),40.519402,17.282470,020541,0,
020542,020542,Viale Cannata,VIALE CANNATA(fr.ang.v.le del Turismo ),40.519218,17.282253,020542,0,
020550,020550,Via XXV Aprile,VIA XXV APRILE fr. n. 29,40.519538,17.260347,020550,0,
020560,020560,Via per Martina Fr.,VIA PER MARTINA FRANCA  (fr. Seminario),40.519658,17.259227,020560,0,
020570,020570,Viale Cannata,VIALE CANNATA  (fr. via Latorre),40.519238,17.274037,020570,0,
020580,020580,Viale Cannata,VIALE CANNATA (fr.via Buozzi),40.519258,17.276747,020580,0,
020581,020581,Viale Cannata  n. 13,VIALE CANNATA n. 13,40.519258,17.278707,020581,0,
020590,020590,V.le Cannata,VIALE CANNATA n. 8800,40.519158,17.285247,020590,0,
020600,020600,Via XXV Aprile,VIA XXV APRILE n. 29,40.519488,17.260447,020600,0,
020620,020620,Via .Grandi,VIA GRANDI fr. n. 50,40.519018,17.270567,020620,0,
020640,020640,Via A. Grandi,VIA GRANDI n. 50,40.519018,17.270827,020640,0,
020650,020650,Viale IV Novembre,VIALE IV NOVEMBRE (Corte d'Appello),40.518748,17.267817,020650,0,
020660,020660,Viale IV Novembre,VIALE IV NOVEMBRE  (fr. Corte d'Appello),40.518588,17.267467,020660,0,
020670,020670,Via G. Impastato,VIA IMPASTATO (CORTE D'APPELLO),40.518238,17.270077,020670,0,
020680,020680,Viale della Liberazione (fr. calcetto),VIALE DELLA LIBERAZIONE (fr. calcetto),40.517698,17.266097,020680,0,
020690,020690,Via XXV Aprile n. 26,VIA XXV APRILE n. 26,40.517968,17.259637,020690,0,
020700,020700,Via XXV Aprile (fr. n.26 ),VIA XXV APRILE (fr. n.26),40.517788,17.259397,020700,0,
020710,020710,Zona Torre rossa (Ipercoop),ZONA TERRAROSSA (Ipercoop),40.517588,17.290108,020710,0,
020720,020720,V.le della Liberazione,VIALE DELLA LIBERAZIONE  (sc. element.),40.517298,17.266197,020720,0,
020730,020730,V.le della Liberazione,VIALE DELLA LIBERAZIONE  (fr. n.16),40.516988,17.270237,020730,0,
020740,020740,V.le della Repubblica (lato chiesa),VIALE DELLA REPUBBLICA (lato chiesa),40.517358,17.263827,020740,0,
020750,020750,V.le della Liberazione,VIALE DELLA LIBERAZIONE (fr. n. 10),40.517038,17.268757,020750,0,
020760,020760,V.le della Repubblica,VIALE DELLA REPUBBLICA  (fr. chiesa),40.517508,17.263397,020760,0,
020770,020770,Via XXV Aprile,VIA XXV APRILE Palaz. n.13,40.516708,17.261327,020770,0,
020780,020780,Viale della Liberazione,VIALE DELLA LIBERAZIONE n. 10,40.516698,17.268927,020780,0,
020790,020790,Viale della Liberazione,VIALE DELLA LIBERAZIONE n. 24,40.516688,17.271687,020790,0,
020800,020800,Via XXV Aprile,VIA XXV APRILE  (fr.Palaz. n.13 ),40.516548,17.261427,020800,0,
020810,020810,Viale IV Novembre,VIALE IV NOVEMBRE (scuola media),40.516248,17.267347,020810,0,
020812,020812,Via XXV Aprile,VIA XXV APRILE  (Lotto 3 Sc.a),40.515778,17.259137,020812,0,
020813,020813,Via XXV Aprile,VIA XXV APRILE  (Edif.b.Sc.a),40.515708,17.258937,020813,0,
020820,020820,Viale della Repubblica,VIALE DELLA REPUBBLICA n.13,40.514658,17.260307,020820,0,
020821,020821,Via Latartara,Via Angelo Latartara,40.515628,17.276347,020821,0,
020830,020830,V.le della Repubblica,VIALE DELLA REPUBBLICA (merc. rionale),40.514568,17.261217,020830,0,
020831,020831,Via XXV Aprile,VIA  XXV APRILE(1°Comp.Lato Dx Canale a),40.514558,17.258917,020831,0,
020840,020840,V.le IV Novembre,VIALE IV NOVEMBRE fr. n. 7,40.513878,17.267287,020840,0,
020849,020849,V.le IV Novembre - 3/A,V.le IV Novembre - 3/A,40.516248,17.267827,020849,0,
020850,020850,V.le IV Novembre,VIALE IV NOVEMBRE (palazzina poste),40.514998,17.267707,020850,0,
020852,020852,Nuovo Plesso Case IACP,Nuovo Plesso Case IACP,40.512768,17.268127,020852,0,
020853,020853,Viale II Giugno,VIALE II GIUGNO  (rotatoria),40.512448,17.268447,020853,0,
020860,020860,V.le 2 Giugno,VIALE II GIUGNO (fr. M.T.C.),40.512578,17.266417,020860,0,
020870,020870,Viale II Giugno,VIALE II GIUGNO  (cabina elettrica),40.513508,17.272007,020870,0,
020910,020910,Buffoluto (Caserma Bravetta),BUFFOLUTO (Caserma Bravetta),40.499658,17.275407,020910,0,
020920,020920,Buffoluto (Cancello ingresso 1),BUFFOLUTO  (Cancello ingresso 1),40.499188,17.275387,020920,0,
020950,020950,Via Martina F.,STRADA SS 172 (svinc. per Reggio C.),40.502488,17.240447,020950,0,
020960,020960,Strada Stat. 172,STRADA SS 172  (fr. svinc.Reggio C.),40.502598,17.240317,020960,0,
020970,020970,Via Galeso,VIA GALESO (ex Mattatoio),40.499128,17.238847,020970,0,
020980,020980,Via Galeso  (fr. mattatoio),VIA GALESO  (fr. mattatoio),40.498698,17.238407,020980,0,
020990,020990,Via Galeso n.357,VIA GALESO n.357,40.496528,17.237317,020990,0,
021000,021000,Via Galeso fr. n. 359,VIA GALESO fr. n. 359,40.496918,17.237787,021000,0,
021010,021010,Via Galeso,VIA GALESO (Dep. Sud Est),40.494668,17.236467,021010,0,
021020,021020,Via Galeso  (fr. Dep. Sud-Est),VIA GALESO (fr. Dep. Sud-Est),40.494868,17.236887,021020,0,
021030,021030,Via Galeso,VIA GALESO n.165,40.492928,17.234807,021030,0,
021040,021040,Via Galeso fr. n. 169,VIA GALESO fr. n. 169,40.492968,17.235097,021040,0,
030001,030001,Compl. nord SS.106,COMPL. NORD SS 106 (ang.via C.Carbonara),40.524957,17.133557,030001,0,
030002,030002,Complanare Nord SS.106,COMPLANARE NORD  SS.106 n.10200,40.519887,17.139997,030002,0,
030010,030010,Complanare nord SS.106,COMPLANARE NORD SS.106 (cave sabbia),40.522407,17.135337,030010,0,
030020,030020,Via per Statte n.6200,VIA PER STATTE n. 6200,40.523768,17.215567,030020,0,
030030,030030,Via Taranto,VIA TARANTO  fr. n. 6200,40.523918,17.215167,030030,0,
030040,030040,Zona Industriale Statte-Taranto,ZONA INDUSTRIALE STATTE-TA,40.522178,17.213577,030040,0,
030050,030050,Ilva Portineria D,ILVA PORTINERIA D,40.522776,17.197511,030050,0,
030060,030060,Bretella Taranto-Crispiano con la SS.7 A,Bretella Taranto-Crispiano con la SS.7 A,40.520028,17.217237,030060,0,
030070,030070,Via Calata Penna Inversa n.27,VIA CALATA PENNA INVERSA n.27,40.521657,17.132607,030070,0,
030071,030071,Via C.Penna Inversa,VIA C. PENNA INVERSA(ang. via del Corvo),40.520917,17.134427,030071,0,
030072,030072,Via Cocuvio,VIA COCUVIO ang. Via C. dello Scapolo,40.520117,17.136787,030072,0,
030080,030080,Italcave,ITALCAVE,40.520728,17.217557,030080,0,
030090,030090,Via Taranto,VIA TARANTO (fr. Italcave),40.519528,17.217577,030090,0,
030100,030100,Bretella Ta-SS.7(ILVA N.D.),Bretella Ta-SS.7(ILVA N.D.),40.518987,17.188207,030100,0,
030110,030110,Bretella via Taranto con SS.7 Appia (Fr.,Bretella via Taranto con SS.7 Appia (Fr.,40.521908,17.214217,030110,0,
030120,030120,Via Calata Cocuvio,VIA CALATA COCUVIO (fr. distr. IP),40.518807,17.140637,030120,0,
030130,030130,Via Calata d.Scapolo,VIA CALATA D. SCAPOLO (ang.Via Pesculli),40.518637,17.135187,030130,0,
030140,030140,Via Calata dello Scapolo n.10,VIA CALATA DELLO SCAPOLO n. 10,40.518197,17.134057,030140,0,
030151,030151,Via C. Saraceno,VIA C. SARACENO (fr.ang. Via C. Cocuvio),40.517977,17.141657,030151,0,
030170,030170,Via Taranto,VIA TARANTO  (fr. ditta ICA),40.516938,17.219647,030170,0,
030180,030180,Viale Orsa Maggiore (ang. C.so Tara),VIALE ORSA MAGGIORE (ang. C.so Tara),40.518457,17.135207,030180,0,
030190,030190,Viale Orsa Maggiore,VIALE ORSA MAGGIORE (C.llo Ferroviario),40.518287,17.131847,030190,0,
030210,030210,Via Taranto (ditta Ica),VIA TARANTO (ditta ica),40.516558,17.219567,030210,0,
030220,030220,Via Calata Pesculli (fr. n. 11),VIA CALATA PESCULLI (fr. n. 11),40.517307,17.138647,030220,0,
030230,030230,Via Calata Proficchia n.12,VIA CALATA PROFICCHIA n. 12,40.516997,17.138977,030230,0,
030240,030240,Via Calata Saraceno,VIA CALATA SARACENO (fr. n. 5),40.516557,17.140857,030240,0,
030250,030250,Proficchia - 13,Proficchia - 13,40.515987,17.139437,030250,0,
030260,030260,Via Calata Saraceno,VIA CALATA SARACENO n. 5,40.516537,17.141017,030260,0,
030270,030270,Via Calata Proficchia,VIA CALATA PROFICCHIA  (fr.n. 14),40.516037,17.138937,030270,0,
030279,030279,Compl. nord SS.106,COMPL. NORD SS. 106 (Merc. Ortofrutta),40.513627,17.154287,030279,0,
030281,030281,Compl. nord SS.106,COMPL. NORD SS.106  (Fiume Tara),40.517587,17.144927,030281,0,
030290,030290,Complanare sud SS.106,COMPLANARE SUD SS.106  (svincolo per Ta),40.517097,17.144797,030290,0,
030310,030310,SS.7 Appia (svincolo per Statte),SS.7 Appia (svincolo per Statte),40.513437,17.188707,030310,0,
030320,030320,Via per Taranto (Tubificio),VIA PER TARANTO (Tubificio),40.511868,17.221447,030320,0,
030330,030330,Via per Taranto,VIA PER TARANTO  (fr. Tubificio),40.511458,17.221777,030330,0,
030350,030350,Via Per Taranto (Belleli),VIA PER TARANTO (Belleli),40.504788,17.223507,030350,0,
030360,030360,Taranto (fr. Belleli),Taranto (fr. Belleli),40.505268,17.223177,030360,0,
030390,030390,Compl. nord SS.106,COMPL. NORD SS.106 n.9880,40.514897,17.148087,030390,0,
030410,030410,Compl. nord SS.106,COMPL. NORD SS.106 n. 8800,40.511267,17.159047,030410,0,
030420,030420,Compl. nord SS.106,COMPL. NORD SS.106  (fr. Mercato Ortof.),40.513517,17.154157,030420,0,
030430,030430,Complanare Nord SS.106,COMPL. NORD SS.106 (ditta Sapio),40.509827,17.162207,030430,0,
030460,030460,Via per Traranto (zona piccola industr.),VIA PER TARANTO (zona piccola industria),40.507628,17.223017,030460,0,
030470,030470,Compl. est SS.7 Appia,COMPL. EST SS.7 APPIA (port. A),40.503998,17.198147,030470,0,
030480,030480,Compl. ovest SS.7 Appia,COMPL. OVEST  SS.7 APPIA (fr.port. A),40.503188,17.198257,030480,0,
030500,030500,Complanare est  SS.7 Appia,COMPL. EST  SS.7 APPIA  (port.B),40.499808,17.201997,030500,0,
030510,030510,Compl. ovest SS.7 Appia,COMPL. OVEST  SS.7 APPIA (fr. port. B),40.499068,17.202027,030510,0,
030550,030550,Via G. Deledda,VIA GRAZIA DELEDDA (Pal. 4),40.496368,17.227267,030550,0,
030570,030570,SS.7 Appia,SS.7 APPIA  (svinc. Reggio Calabria),40.495412,17.205681,030570,0,
030580,030580,Via Pirandello,VIA L. PIRANDELLO n.13,40.495468,17.227837,030580,0,
030610,030610,Via Orsini,VIA R. ORSINI n.126,40.495298,17.225797,030610,0,
030620,030620,Capolinea Orsini,CAPOLINEA VIA ORSINI,40.494848,17.226067,030620,0,
